Membership No  Date Joined  Active  
    71206      2019-3-24    yes   
    82352      2015-11-23   yes   
    90987      2019-1-25    yes   
    90007      2020-7-16    yes   
    35398      2016-9-4     yes   
    18034      2016-6-9     yes   
    74769      2017-5-14    yes   
    88130      2018-9-21    yes   
    23668      2017-10-20   yes   
    41238      2018-11-22   yes   
    90846      2018-9-23    yes   
    98552      2020-8-6     yes   
    89627      2018-9-1     yes   
