Membership No  Date Joined  Active  
    90401      2018-2-10    yes   
    31861      2019-1-1     yes   
    88995      2018-5-22    yes   
    42602      2017-9-4     yes   
    67764      2020-2-21    yes   
    32865      2019-3-13    yes   
    39414      2020-10-9    yes   
    69237      2020-1-23    yes   
    11943      2019-3-2     yes   
    75105      2020-9-17    yes   
    72875      2016-6-4     yes   
    20353      2015-9-5     yes   
    11721      2018-10-22   yes   
